# WAN=4Mpbs, WLAN=40Mpbs
#	T1	T2	T3
1	2.06	1.78	1.81
2	2.43	2.00	1.83	
3	2.54	2.24	1.83
4	2.9	2.5	2.06
5	3.16	2.9	2.54
